,Main_Mass_Flow,Additive_1_Ratio,Additive_2_Ratio,Additive_3_Ratio,Additive_4_Ratio,Additive_5_Ratio,Additive_6_Ratio,Flow_Gas_Ratio,T_Zone_1,T_Zone_2,T_Zone_3,T_Zone_4,T_Zone_5,T_Zone_6,T_Zone_7,T_Zone_8,T_Zone_9,T_Zone_10,Blending,Quality,T_Increase_1,T_Increase_2,T_Increase_3,T_Increase_4,T_Increase_5,T_Increase_6,T_Increase_7,T_Increase_8,T_Increase_9
0,17947.958984375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.53477025032043,200.130233764648,187.366165161133,197.865295410156,175.733352661133,177.881011962891,180.187149047852,175.288040161133,181.461486816406,184.349884033203,178.632537841797,24.0,45.075,0,1,0,1,1,0,1,1,0
1,17942.625,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.5245990753173797,200.14013671875,187.729888916016,198.24250793457,175.395889282227,176.092880249023,178.021575927734,173.222076416016,180.226272583008,183.611709594727,177.633361816406,24.0,44.6825,0,1,0,1,1,0,1,1,0
2,17955.15234375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.5289974212646498,199.947128295898,187.754241943359,197.993621826172,175.388732910156,176.331268310547,178.255264282227,173.343566894531,179.927108764648,183.406295776367,177.319366455078,24.0,44.29,0,1,0,1,1,0,1,1,0
3,17965.1171875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.51970028877258,199.723190307617,187.72703552246102,198.104873657227,175.56492614746102,175.40319824218798,177.945907592773,172.337829589844,178.77369689941398,182.526580810547,176.51780700683602,24.0,44.4275,0,1,0,0,1,0,1,1,0
4,17949.1328125,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.52592587471008,199.627059936523,187.35154724121102,197.611877441406,174.955108642578,174.076019287109,176.105621337891,170.77731323242202,177.310882568359,181.188674926758,175.847259521484,24.0,44.565,0,1,0,0,1,0,1,1,0
5,17958.9375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.5216891765594505,199.841857910156,187.415496826172,197.982666015625,175.351516723633,177.01318359375,179.44348144531202,173.695526123047,180.40650939941398,183.772872924805,177.445739746094,24.0,44.7025,0,1,0,1,1,0,1,1,0
6,17957.1640625,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.51084065437317,199.586135864258,187.91990661621102,197.968780517578,175.379974365234,175.603759765625,177.872344970703,172.558044433594,179.44563293457,182.891021728516,176.639999389648,24.0,44.84,0,1,0,1,1,0,1,1,0
7,17964.48046875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.50375413894653,199.705261230469,187.216400146484,197.755157470703,175.412948608398,177.414581298828,179.766891479492,174.33326721191398,180.639801025391,183.522079467773,177.869277954102,24.0,44.605,0,1,0,1,1,0,1,1,0
8,17945.482421875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.52608585357666,199.523193359375,187.685546875,198.015335083008,175.50709533691398,176.613067626953,178.894927978516,173.799133300781,180.573303222656,183.926483154297,177.449920654297,24.0,44.37,0,1,0,1,1,0,1,1,0
9,17957.333984375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.52499580383301,198.965713500977,187.423965454102,197.85011291503898,175.680801391602,176.342468261719,178.755920410156,173.923034667969,180.565399169922,183.530136108398,177.962219238281,24.0,44.135,0,1,0,1,1,0,1,1,0
10,17940.888671875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.51152634620667,199.576416015625,188.05641174316398,198.193908691406,175.72492980957,176.791351318359,179.072906494141,173.65026855468798,180.527069091797,183.463104248047,176.978668212891,24.0,43.9,0,1,0,1,1,0,1,1,0
11,17923.1796875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.5129389762878396,200.572799682617,187.704162597656,198.146942138672,176.285491943359,177.193008422852,179.440948486328,173.911560058594,180.591461181641,183.881423950195,178.018341064453,24.0,44.2575,0,1,0,1,1,0,1,1,0
12,17929.642578125,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.5093445777893097,199.529510498047,188.293365478516,198.73606872558602,176.160705566406,175.565948486328,176.775177001953,170.743896484375,178.000534057617,181.387634277344,175.287048339844,24.0,44.615,0,1,0,0,1,0,1,1,0
13,17968.2265625,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.0009100000024773179,0.00524999992921948,2.49587607383728,199.363632202148,188.148101806641,198.736297607422,176.221878051758,175.87776184082,178.33106994628898,171.755767822266,178.42942810058602,181.866546630859,175.143402099609,24.0,44.9725,0,1,0,0,1,0,1,1,0
