"","Date.Time","Main_Mass_Flow","Additive_1_Ratio","Additive_2_Ratio","Additive_3_Ratio","Additive_4_Ratio","Additive_5_Ratio","Additive_6_Ratio","Flow_Gas_Ratio","Pressure","T_Zone_1","T_Zone_2","T_Zone_3","T_Zone_4","T_Zone_5","T_Zone_6","T_Zone_7","T_Zone_8","T_Zone_9","T_Zone_10","Blending","Quality"
"1543100",2017-01-01 02:42:00,17947.958984375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.53477025032043,0,200.130233764648,187.366165161133,197.865295410156,175.733352661133,177.881011962891,180.187149047852,175.288040161133,181.461486816406,184.349884033203,178.632537841797,24,45.075
"1601100",2017-01-01 03:40:00,17942.625,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.52459907531738,0,200.14013671875,187.729888916016,198.24250793457,175.395889282227,176.092880249023,178.021575927734,173.222076416016,180.226272583008,183.611709594727,177.633361816406,24,44.6825
"1670100",2017-01-01 04:49:00,17955.15234375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.52899742126465,0,199.947128295898,187.754241943359,197.993621826172,175.388732910156,176.331268310547,178.255264282227,173.343566894531,179.927108764648,183.406295776367,177.319366455078,24,44.29
"1709100",2017-01-01 05:28:00,17965.1171875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.51970028877258,0,199.723190307617,187.727035522461,198.104873657227,175.564926147461,175.403198242188,177.945907592773,172.337829589844,178.773696899414,182.526580810547,176.517807006836,24,44.4275
"1768100",2017-01-01 06:27:00,17949.1328125,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.52592587471008,0,199.627059936523,187.351547241211,197.611877441406,174.955108642578,174.076019287109,176.105621337891,170.777313232422,177.310882568359,181.188674926758,175.847259521484,24,44.565
"1823100",2017-01-01 07:22:00,17958.9375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.52168917655945,0,199.841857910156,187.415496826172,197.982666015625,175.351516723633,177.01318359375,179.443481445312,173.695526123047,180.406509399414,183.772872924805,177.445739746094,24,44.7025
"1867100",2017-01-01 08:06:00,17957.1640625,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.51084065437317,0,199.586135864258,187.919906616211,197.968780517578,175.379974365234,175.603759765625,177.872344970703,172.558044433594,179.44563293457,182.891021728516,176.639999389648,24,44.84
"1942100",2017-01-01 09:21:00,17964.48046875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.50375413894653,0,199.705261230469,187.216400146484,197.755157470703,175.412948608398,177.414581298828,179.766891479492,174.333267211914,180.639801025391,183.522079467773,177.869277954102,24,44.605
"1996100",2017-01-01 10:15:00,17945.482421875,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.52608585357666,0,199.523193359375,187.685546875,198.015335083008,175.507095336914,176.613067626953,178.894927978516,173.799133300781,180.573303222656,183.926483154297,177.449920654297,24,44.37
"2067100",2017-01-01 11:26:00,17957.333984375,0.000626239983830601,0.0531460680067539,0.000875999976415187,0.00100000004749745,0.000910000002477318,0.00524999992921948,2.52499580383301,0,198.965713500977,187.423965454102,197.850112915039,175.680801391602,176.342468261719,178.755920410156,173.923034667969,180.565399169922,183.530136108398,177.962219238281,24,44.135
